Bora Bora ;Pêche en haute mer en Boston Wahler 17';1/2  journée;Sport & Aventure;Mer;MOANA ADVENTURE TOURS;20%;WL;site web;site web;;;Philippe;moanatours@mail.pf;87 78 27 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora;Location bateau Cap Camarat 23' avec capitaine;1/2 journée;Expeditions découverte;Lagon;MOANA ADVENTURE TOURS;20%;WL;site web;site web;;;Philippe;moanatours@mail.pf;87 78 27 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Pure snokeling tour Morning;3,5 heures;Expeditions découverte;Lagon;PURE SNORKELING BORA BORA;20%;OK;site web;site web;;;Laura;reefdiscovery@gmail.com;87 76 43 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Pure snokeling tour Afternoon;2 heures;Expeditions découverte;Lagon;PURE SNORKELING BORA BORA;20%;OK;site web;site web;;;Laura;reefdiscovery@gmail.com;87 76 43 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Croisière privée au coucher du soleil;2 heures;Expeditions découverte;Lagon;PURE SNORKELING BORA BORA;20%;OK;site web;site web;;;Laura;reefdiscovery@gmail.com;87 76 43 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Tour privé en Quad;1/2 journée;Sport & Aventure;En montagne;MATIRA JET TOURS;Tarifs;;OK;;;;Laure BESINEAU;contact@matirajettours.com;87 77 63 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Croisière privée dans le lagon de Bora Bora;journée complète;Sport & Aventure;Mer;VITAMIN SEA BORA BORA ;20%;OK;OK;OK;;;Nicolas MANEN;contact@sailingborabora.com;87 37 77 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Sunset cruise  ;2  heures 30 mins;Sport & Aventure;Mer;VITAMIN SEA BORA BORA ;20%;OK;OK;OK;;;Nicolas MANEN;contact@sailingborabora.com;87 37 77 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Safari 4x4 tour de l'île privé;1/2 journée;Sport & Aventure;En montagne;VAVAU ADVENTURE;20%;OK;OK;OK;;;Patrick Mahuta;temana689@me.com;87 72 01 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Combo land & Sea;Journée complète;Sport & Aventure;En montagne;VAVAU ADVENTURE;20%;OK;OK;OK;;;Patrick Mahuta;temana689@me.com;87 72 01 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Safari 4x4 tour de l'île privé;1/2 journée;Sport & Aventure;En montagne;MAOHI NUI EXCURSIONS;30%;;OK;;;;Patrick Tairua  ;patrick.bora@mail.pf;87 79 19 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Combo Tour & lunch;Journée complète;Sport & Aventure;En montagne;MAOHI NUI EXCURSIONS;30%;;OK;;;;Patrick Tairua  ;patrick.bora@mail.pf;87 79 19 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bora Bora ;Lagoon Tour;1/2 journée;Sport & Aventure;En montagne;MAOHI NUI EXCURSIONS;30%;;OK;;;;Patrick Tairua  ;patrick.bora@mail.pf;87 79 19 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Nager avec un dauphin;1 heure;Romance;Activité;MOOREA DOLPHIN CENTER;15-18%;OK;OK;OK;;;Laurence Morino;direction@mooreadolphincenter.com;87 71 98 19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Chute libre & saut en parachute;2 heures;Sport & Aventure;Air;TAHITI PARACHUTISME;15%;OK;OK;OK;;;Olivier ;contact@tahiti-parachutisme.com;87 33 97 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Plongée privée Moorea;2 à 7 heures;Sport & Aventure;Monde sous-marin;TOP DIVE;20%;OK;OK;OK;OK;;Sébastien Guilloux;sebastien@topdive.com;87 71 47 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Sortie Baleine tour de Moorea;Journée complète;Sport & Aventure;Monde sous-marin;TPE (Rodolphe);20%;OK;OK;;OK;OK;Christelle HOLLER;tahiti-private-expeditions@mail.pf;87 76 62 72 / 87 71 17 76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Sortie Combo Eco-tour / plongée libre;Journée complète;Sport & Aventure;Monde sous-marin;TPE (Rodolphe);20%;OK;OK;;OK;;Christelle HOLLER;tahiti-private-expeditions@mail.pf;87 76 62 72 / 87 71 17 76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Sortie plongée recycleur;Journée complète;Sport & Aventure;Monde sous-marin;TPE (Rodolphe);20%;OK;OK;;OK;;Christelle HOLLER;tahiti-private-expeditions@mail.pf;87 76 62 72 / 87 71 17 76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Sortie plongée requins tigre;Journée complète;Sport & Aventure;Monde sous-marin;TPE (Rodolphe);20%;OK;OK;;OK;;Christelle HOLLER;tahiti-private-expeditions@mail.pf;87 76 62 72 / 87 71 17 76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Mariage Romantiques Moorea;1/2 journée / JC;Romance;Mariage & cérémonie;WEDOTAHITI;15%;;OK;OK;OK;OK;Nelly GRANGE;planner@wedotahiti.com;40 56 54 18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moorea;Tour privé en hélicoptère;30 MN;Expeditions découverte;Air;TAHITI HELICOPTERE;20%;OK;OK;OK;;;Aurore BOUMARAF;aurore.boumaraf@tahiti-helicopters.com;87 31 87 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rangiroa;Plongée privée Rangiroa;2 à 7 heures;Sport & Aventure;Monde sous-marin;TOP DIVE;20%;OK;OK;OK;OK;;Sébastien Guilloux;sebastien@topdive.com;87 71 47 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fakarava;Croisière plongée à bord de l'Aqua Tiki;TBC;Sport & Aventure;Océan;AQUA TIKI II;20%;OK;OK;OK;;;Patrice POIRY;aquatiki@aquapolynesie.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tikehau;Plongée privée Tikehau;2 à 7 heures;Sport & Aventure;Monde sous-marin;TOP DIVE;20%;OK;OK;OK;OK;;Sébastien Guilloux;sebastien@topdive.com;87 714 700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Chute libre & saut en parachute;2 heures;Sport & Aventure;Air;TAHITI PARACHUTISME;15%;OK;OK;OK;;;Olivier EVENO;contact@tahiti-parachutisme.com;87 33 97 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Initiation au pilotage;RQ;Sport & Aventure;Air;c3p;15%;;OK;;OK;;Cécile FLIPO;cecile.flipo@mail.pf;87 79 56 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Initiation à la voltige aérienne;2 heures;Sport & Aventure;Air;c3p;15%;;OK;;OK;;Cécile FLIPO;cecile.flipo@mail.pf;87 79 56 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Location de 4x4;Journée complète;En toute liberté;Location de voiture;ECO CAR;TARIFS;site web;site web;site web;;;Luc ZAMMIT;luc@ecocar-tahiti.com;89 25 80 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Atelier création de Monoï;1/2 journée;Culture & traditions;Expérience unique;PACIFIQUE SUD;10 à 20 %;OK;OK;OK;OK;;Olivier TOUBOUL;olivier.touboul@pacifiquesud.com;87 78 70 60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Initiation à la création cosmétique;1/2 journée;Culture & traditions;Expérience unique;PACIFIQUE SUD;10 à 20%;OK;OK;OK;OK;;Olivier TOUBOUL;olivier.touboul@pacifiquesud.com;87 78 70 60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Sortie Découverte de Teahupoo& Vaipoiri  (terre & mer) / 12 pax ;Journée complète;Expeditions découverte;Lagon & Océan;SURFARI;23%;site web;site web;site web;;;Cindy DROLLET;teahupootahitisurfari@gmail.com;87 77 72 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Sortie découverte Te Pari Tour;journée complète;Expeditions découverte;Lagon & Océan;SURFARI;23%;site web;site web;site web;;;Cindy DROLLET;teahupootahitisurfari@gmail.com;87 77 72 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Sortie bateau spot de surf de Teahupoo / 6 pax;2 heures;Sport & Aventure;Surf Watching;SURFARI;TARIFS;site web;site web;site web;;;Cindy DROLLET;teahupootahitisurfari@gmail.com;87 77 72 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Sortie Apnee;1/2 journée;Sport & Aventure;Monde sous-marin;Francis Legall;TARIFS;OK;OK;;;;Francis Legall;francis.legall@sfr.fr;87 34 43 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Pêche sous marine;1/2 journée;Sport & Aventure;Monde sous-marin;Francis Legall;TARIFS;OK;OK;;;;Francis Legall;francis.legall@sfr.fr;87 34 43 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tahiti;Sortie Baleine Tahiti Iti;1/2 journée;Sport & Aventure;Monde sous-marin;TAHITI ITI DIVING;20%;OK;OK;OK;OK;;Lionel Hertrich;tahiti-iti-diving@mail.pf;87 71 80 77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
